Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2807","Rice and products","2017","2017","1000 t","338","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2807","Rice and products","2018","2018","1000 t","352","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2807","Rice and products","2019","2019","1000 t","383","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2807","Rice and products","2020","2020","1000 t","440","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2807","Rice and products","2021","2021","1000 t","459","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2807","Rice and products","2017","2017","1000 t","644","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2807","Rice and products","2018","2018","1000 t","556","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2807","Rice and products","2019","2019","1000 t","384","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2807","Rice and products","2020","2020","1000 t","595","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2807","Rice and products","2021","2021","1000 t","497","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2807","Rice and products","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2807","Rice and products","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2807","Rice and products","2019","2019","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2807","Rice and products","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2520","Cereals, Other","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2520","Cereals, Other","2018","2018","1000 t","3","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2520","Cereals, Other","2019","2019","1000 t","4","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2520","Cereals, Other","2020","2020","1000 t","2","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2520","Cereals, Other","2021","2021","1000 t","29","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2520","Cereals, Other","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2520","Cereals, Other","2019","2019","1000 t","8","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2520","Cereals, Other","2020","2020","1000 t","3","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2520","Cereals, Other","2021","2021","1000 t","5","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2531","Potatoes and products","2017","2017","1000 t","513","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2531","Potatoes and products","2018","2018","1000 t","616","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2531","Potatoes and products","2019","2019","1000 t","921","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2531","Potatoes and products","2020","2020","1000 t","855","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2531","Potatoes and products","2021","2021","1000 t","865","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2531","Potatoes and products","2017","2017","1000 t","383","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2531","Potatoes and products","2018","2018","1000 t","332","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2531","Potatoes and products","2019","2019","1000 t","188","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2531","Potatoes and products","2020","2020","1000 t","89","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2531","Potatoes and products","2021","2021","1000 t","130","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2531","Potatoes and products","2017","2017","1000 t","5","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2531","Potatoes and products","2018","2018","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2531","Potatoes and products","2019","2019","1000 t","4","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2531","Potatoes and products","2020","2020","1000 t","17","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2531","Potatoes and products","2021","2021","1000 t","21","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2580","Olive Oil","2017","2017","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2580","Olive Oil","2018","2018","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2580","Olive Oil","2019","2019","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2580","Olive Oil","2020","2020","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2580","Olive Oil","2021","2021","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2580","Olive Oil","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2580","Olive Oil","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2580","Olive Oil","2019","2019","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2580","Olive Oil","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2580","Olive Oil","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2580","Olive Oil","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2580","Olive Oil","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2605","Vegetables, other","2017","2017","1000 t","2012","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2605","Vegetables, other","2018","2018","1000 t","1402","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2605","Vegetables, other","2019","2019","1000 t","2359","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2605","Vegetables, other","2020","2020","1000 t","3269","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2605","Vegetables, other","2021","2021","1000 t","3223","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2605","Vegetables, other","2017","2017","1000 t","177","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2605","Vegetables, other","2018","2018","1000 t","100","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2605","Vegetables, other","2019","2019","1000 t","128","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2605","Vegetables, other","2020","2020","1000 t","102","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2605","Vegetables, other","2021","2021","1000 t","133","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2605","Vegetables, other","2017","2017","1000 t","66","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2605","Vegetables, other","2018","2018","1000 t","148","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2605","Vegetables, other","2019","2019","1000 t","159","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2605","Vegetables, other","2020","2020","1000 t","111","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2605","Vegetables, other","2021","2021","1000 t","149","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2630","Coffee and products","2017","2017","1000 t","2","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2630","Coffee and products","2018","2018","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2630","Coffee and products","2019","2019","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2630","Coffee and products","2020","2020","1000 t","2","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2630","Coffee and products","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2630","Coffee and products","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2630","Coffee and products","2018","2018","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2630","Coffee and products","2019","2019","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2630","Coffee and products","2020","2020","1000 t","4","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2630","Coffee and products","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2735","Meat, Other","2017","2017","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2735","Meat, Other","2018","2018","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2735","Meat, Other","2019","2019","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2735","Meat, Other","2020","2020","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5511","Production","S2735","Meat, Other","2021","2021","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2735","Meat, Other","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2735","Meat, Other","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2735","Meat, Other","2019","2019","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2735","Meat, Other","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5611","Import Quantity","S2735","Meat, Other","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","004","Afghanistan","5911","Export Quantity","S2735","Meat, Other","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2807","Rice and products","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2807","Rice and products","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2807","Rice and products","2019","2019","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2807","Rice and products","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2807","Rice and products","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2807","Rice and products","2017","2017","1000 t","33","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2807","Rice and products","2018","2018","1000 t","41","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2807","Rice and products","2019","2019","1000 t","36","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2807","Rice and products","2020","2020","1000 t","26","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2807","Rice and products","2021","2021","1000 t","41","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2807","Rice and products","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2807","Rice and products","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2807","Rice and products","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2520","Cereals, Other","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2520","Cereals, Other","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2520","Cereals, Other","2019","2019","1000 t","3","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2520","Cereals, Other","2020","2020","1000 t","5","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2520","Cereals, Other","2021","2021","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2520","Cereals, Other","2019","2019","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2531","Potatoes and products","2017","2017","1000 t","250","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2531","Potatoes and products","2018","2018","1000 t","255","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2531","Potatoes and products","2019","2019","1000 t","261","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2531","Potatoes and products","2020","2020","1000 t","255","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2531","Potatoes and products","2021","2021","1000 t","259","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2531","Potatoes and products","2017","2017","1000 t","17","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2531","Potatoes and products","2018","2018","1000 t","16","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2531","Potatoes and products","2019","2019","1000 t","19","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2531","Potatoes and products","2020","2020","1000 t","13","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2531","Potatoes and products","2021","2021","1000 t","25","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2531","Potatoes and products","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2531","Potatoes and products","2018","2018","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2531","Potatoes and products","2019","2019","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2531","Potatoes and products","2020","2020","1000 t","2","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2531","Potatoes and products","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2580","Olive Oil","2017","2017","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2580","Olive Oil","2018","2018","1000 t","11","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2580","Olive Oil","2019","2019","1000 t","11","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2580","Olive Oil","2020","2020","1000 t","13","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2580","Olive Oil","2021","2021","1000 t","12","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2580","Olive Oil","2017","2017","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2580","Olive Oil","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2580","Olive Oil","2019","2019","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2580","Olive Oil","2020","2020","1000 t","2","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5611","Import Quantity","S2580","Olive Oil","2021","2021","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2580","Olive Oil","2017","2017","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2580","Olive Oil","2018","2018","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2580","Olive Oil","2019","2019","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2580","Olive Oil","2020","2020","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5911","Export Quantity","S2580","Olive Oil","2021","2021","1000 t","0","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2605","Vegetables, other","2017","2017","1000 t","752","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2605","Vegetables, other","2018","2018","1000 t","765","I","Imputed value"
"FBS","Food Balances (2010-)","008","Albania","5511","Production","S2605","Vegetables, other","2019","2019","1000 t","843","I","Imputed value"
